"","Date","TN_Stream_Change","TN_Lake_Change","TP_Stream_Change","TP_Lake_Change","Nitrate_Stream_Change","Nitrate_Lake_Change","SRP_Stream_Change","SRP_Lake_Change","DOC_Stream_Change","DOC_Lake_Change","Percent_Q_Change"
"1","2019-12-08",-1.14665934970505,NA,-0.0794352230000002,NA,-0.692000000000001,NA,-71.4,NA,-6.26,NA,NA
"2","2019-12-15",-2.23460008231582,NA,-0.066716964,NA,-1.744,NA,-20.6,NA,-3.17,NA,NA
"3","2020-01-06",1.42680751817808,NA,-0.025220953,NA,1.14,NA,15.3,NA,NA,NA,NA
"4","2020-01-13",5.63561531074222,NA,0.273011425,NA,5.54,NA,161.2,NA,NA,NA,NA
"5","2020-01-31",0.782000274386071,NA,-0.0115326579999999,NA,0.640000000000001,NA,-9,NA,-0.44,NA,NA
"6","2020-02-16",0.72712306214844,NA,-0.00765251200000017,NA,1.1,NA,-6.69999999999999,NA,-0.0999999999999996,NA,NA
"7","2020-03-01",NA,NA,NA,NA,0.459999999999997,NA,-6.82,NA,-0.21,NA,NA
"8","2020-03-08",0.61736863811867,NA,-0.0418193569999998,NA,0.649999999999999,NA,-17.6,NA,-0.457,NA,NA
"9","2020-05-22",0.123473730000001,NA,0.0634835092060788,NA,-0.619999999999997,NA,-12.2,NA,-0.923,NA,NA
"10","2020-06-01",0.631087941188781,NA,0.00991593015736147,NA,0.109999999999999,NA,9.54000000000001,NA,-0.318000000000001,NA,NA
"11","2020-06-08",-0.80943888050486,NA,-0.000107781849536526,NA,-0.849999999999998,NA,9.78,NA,-0.372,NA,NA
"12","2020-06-15",-1.30333379064343,NA,-0.00862254796292317,NA,-0.479999999999999,NA,-11.2,NA,-0.653,NA,NA
"13","2020-07-13",-2.21292358348196,NA,-0.0951713731407633,NA,-1.803,NA,-120.3,NA,-3.229,NA,NA
"14","2020-07-20",0.320482919467692,NA,0.0536753610691958,NA,0.1627,NA,45.8,NA,3.057,NA,NA
"15","2020-07-28",-0.739744820963091,NA,-0.124056908816555,NA,-0.568,NA,-78.3,NA,0.430000000000001,NA,NA
"16","2020-08-04",-0.474687885855394,NA,-0.0369691743910325,NA,-0.307,NA,-36.4,NA,-0.104000000000001,NA,NA
"17","2020-08-18",0.323501166140759,NA,0.0265143349859884,NA,NA,NA,NA,NA,1.994,NA,NA
"18","2020-11-03",-0.460016835016836,NA,-0.0213471961066261,NA,-0.471,NA,-21,NA,4.065,NA,NA
"19","2020-11-17",-0.116301907968575,NA,-0.028536666297976,NA,-0.0723,NA,-34.4,NA,-0.254000000000001,NA,NA
"20","2020-12-02",-0.631313131313139,NA,-0.0159274416546842,NA,-0.489999999999998,NA,-13.5,NA,-0.829000000000001,NA,NA
"21","2020-12-14",0.434904601571271,NA,-0.0305275965048115,NA,0.31,NA,-12.8,NA,-0.738,NA,NA
"22","2021-01-12",-5.613369,NA,-0.0350349999999999,NA,-4.99,NA,-24.6,NA,NA,NA,NA
"23","2021-01-27",-3.422272,-11.252947,-0.0137050000000001,-1.06145,-3.71,-10.92,-17.77,-64.7,NA,NA,-56.6448067680153
"24","2021-02-24",-6.237416,-17.063513,-0.270005,-1.793877,-5.21,-16.13,-215.3,-519.46,-4.0711,-11.9687,NA
"25","2021-03-10",-5.197337,-13.277631,-0.045425,-0.967396,-4.84,-12.7,-20.6,21.4,-2.4239,-4.2456,-22.8438935489495
"26","2021-03-24",-5.946192,-15.551935,-0.0448729999999999,-1.000221,-5.23,-13.78,-23.3,13.3,-2.4008,-4.9872,-50.2106713351609
"27","2021-04-07",-4.50395,-9.893913,-0.0301719999999999,-1.028294,-4.24,-9.66,-6.76,-16.57,-2.6041,-6.6535,NA
"28","2021-04-21",-4.375808347,-9.688859494,-0.0328269999999999,-1.016246,-3.76,-9.13,-3.8,-25.76,-2.49713247890209,-6.1855285848201,-43.4542951974508
"29","2021-04-29",-7.03600823,-8.189741329,NA,NA,-4.2,-5.89,-509.3,-86.28,NA,NA,-44.8875552319933
"30","2021-05-05",-11.155165822,-28.321024661,-0.220257,-1.547537,-8.97,-24.94,-138.6,-321.52,-4.73452788447781,-14.523063715509,9.61815098855354
"31","2021-05-10",-9.681510876,-29.074514996,NA,NA,NA,NA,NA,NA,NA,NA,67.9640070368068
"32","2021-05-18",-5.287037036,-16.449588479,-0.0221640000000001,-1.041239,-5.49,-15.02,-8.13,-33.28,-2.54042066103877,-7.18295783483937,2.02554974831944
"33","2021-06-01",-4.713844798,-9.630070547,-0.0252509999999999,-1.047635,-3.78,-8.42,-10.44,-49.6,-2.47764441912595,-5.96176033420421,-34.7945257094835
"34","2021-06-09",-10.225308642,-23.474867724,NA,NA,-8.95,-21.88,-83.2,-346.4,-3.67394355284038,-10.8667832190727,919.392367427473
"35","2021-06-15",-8.784979429,-22.00514403,-0.0691360000000001,-1.051163,-7.84,-20.38,-45.7,-148.5,-2.69667127201454,-5.40093372882577,747.242429011588
"36","2021-06-29",-9.007280874,-15.672360683,-0.135274161,-1.15070592,-6.68,-14.99,-75.2,-176.54,-3.63563840816478,-4.91082431361764,-28.0041308753718
"37","2021-07-13",-5.380845701,-5.997199664,-0.125424099,-1.170843822,-4.26,-5.83,-62.5,-175.48,-3.89212791,-7.655183854,NA
"38","2021-07-17",NA,NA,NA,NA,-4.04,-15.29,-215,-892.32,-6.548863614,-19.762625965,-0.441674864102265
"39","2021-07-27",-6.556986839,-8.55950714,-0.147532013,-1.071905438,-4.26,-9.01,-116.4,-124.56,-3.806735039,-4.92524509,-41.0413629727659
"40","2021-08-10",-5.014001681,-1.043405208,-0.28488563,-1.028127394,-3.841,-0.909,-241.3,-65.7,-5.565052806,-3.820218932,-87.4908026556501
"41","2021-08-25",NA,NA,NA,NA,-0.0333000000000001,-0.9687,-3.4,134.4,-0.00750318200000022,1.237824077,-88.4269176122099
"42","2021-09-05",NA,NA,NA,NA,-0.0489999999999999,-1.104,-14.6,-93.23,-0.451128826,-3.093454814,-51.6143001632534
"43","2021-10-31",-3.538224588,-9.741248949,-0.132756922,-1.267483856,-3.374,-9.182,-91.3,-298.3,-4.386543443,-14.606290242,-43.216825907096
"44","2021-11-14",-0.8975077,-2.678801457,-0.0653387319999998,-1.059866477,-0.304,-2.6404,-46.26,-104.63,-6.71998934,-7.708291294,-91.5887965308853
"45","2021-11-28",-2.996359562,-6.722486699,-0.0278756709999999,-1.046382838,-2.677,-6.88,-14.8,-81.92,-3.366451358,-8.1644783,-56.9313173264776
"46","2021-12-13",-6.725007002,-22.141136936,-0.222939695,-1.381744556,-6.02,-23.192,-176.8,-396.1,-3.062545524,-7.860456454,NA
