"","Date","TN_Stream_Change","TN_Lake_Change","TP_Stream_Change","TP_Lake_Change","Nitrate_Stream_Change","Nitrate_Lake_Change","SRP_Stream_Change","SRP_Lake_Change","DOC_Stream_Change","DOC_Lake_Change"
"1","2019-12-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-15",-29.8036632449544,-72.1874039808347,-5.75065024351026,-96.0841273623445,-27.3740386124627,-86.867271841337,-17.9442508710801,-97.1427483603057,-20.5710577547047,-56.2127837595274
"3","2020-01-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-01-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-01-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-03-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-03-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-05-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-06-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-06-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-06-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-07-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-07-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-07-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-08-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-08-18",22.3782860396696,-49.3649505267048,2.44654400795625,-91.7443434588034,NA,NA,NA,NA,43.0297798877859,-36.3865234688132
"18","2020-11-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-12-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-12-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-01-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-01-27",-19.0415219632508,-41.7777248108952,-1.1957839997906,-86.3426629051033,-21.1878926327813,-48.0386887179019,-18.5937009521816,-57.9893378196667,NA,NA
