"","Date","TN_Stream_Change","TN_Lake_Change","TP_Stream_Change","TP_Lake_Change","Nitrate_Stream_Change","Nitrate_Lake_Change","SRP_Stream_Change","SRP_Lake_Change","DOC_Stream_Change","DOC_Lake_Change"
"1","2019-12-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-15",-1.90123543207318,-3.23252672724461,-0.0567639180186977,-0.893892765674749,-1.48382460905458,-3.4197296250548,-17.5268273775943,-77.8569484936594,-2.69708945567835,-5.85399840299778
"3","2020-01-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-01-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-01-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-03-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-03-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-05-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-06-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-06-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-06-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-07-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-07-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-07-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-08-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-08-18",0.316495961574229,-0.854406265984953,0.02594018453473,-0.996544366601262,NA,NA,NA,NA,1.95082124403971,-2.3594750278311
"18","2020-11-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-12-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-12-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-01-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-01-27",-1.37689604616695,-2.44571932314556,-0.00551398612171039,-0.393381421864681,-1.49265877501244,-2.66720784236434,-7.14947343179814,-18.151577546083,NA,NA
"24","2021-02-24",-0.430365576399482,2.33733115793166,-0.0186296468691109,-0.0108940445460016,-0.359476528908975,1.5649092819568,-14.8551433155667,31.6410670183925,-0.280895373673959,2.26672844419045
"25","2021-03-10",-1.95854219979803,-1.31230526030277,-0.0171177623128587,-0.263087726823658,-1.82388485622973,-1.51173778232403,-7.76281571039928,73.5038771578746,-0.913412087399845,1.01957793588096
"26","2021-03-24",-1.31926960883246,1.09228397613455,-0.00995588187484345,-0.131197566544155,-1.16036953636778,0.868881972521186,-5.16952393831151,60.8163720265458,-0.532660646828252,1.86483484157267
"27","2021-04-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-04-21",-1.9114222219708,-1.87724187205903,-0.0143393522533165,-0.404176266319007,-1.64242740647851,-2.07893381093374,-1.65990003846232,-9.05938950618009,-1.09078692046713,-0.93030417650012
"29","2021-04-29",-1.65052717115203,0.865669515366461,NA,NA,-0.985248153815552,0.684932942553432,-119.473067794824,-16.2443347795531,NA,NA
"30","2021-05-05",-0.794375077886352,1.28298573980179,-0.0156848113530458,-0.0345361063859893,-0.638766340396995,0.583110475573086,-9.86990131315758,-18.9597673810143,-0.337152402483325,1.6726336182883
"31","2021-05-10",-1.05639532911881,0.529482468020294,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-05-18",-2.51646765088514,-5.14449345050473,-0.0105493849644783,-0.366243313474528,-2.61307180359979,-5.28158831606051,-3.86963092227074,-12.6128515959264,-1.20916240412437,-1.64528001865378
"33","2021-06-01",-2.93191825885664,-4.67877366796948,-0.0157056227192292,-0.639387424886191,-2.35108525914563,-4.294463686522,-6.4934735728784,-28.8402055212265,-1.54104583894483,-2.50035154810172
"34","2021-06-09",-2.72322374933984,-0.658384966502125,NA,NA,-2.38358111328603,-0.90414346691034,-22.1579830866366,-65.0344532899656,-0.978451671936234,0.143717383292277
"35","2021-06-15",-4.41155969638837,-6.87530071519669,-0.0347180768759324,-0.454539956125967,-3.93701866910596,-7.03321947773238,-22.9492032114977,-67.6125150179459,-1.35418943142385,-0.730390957958106
"36","2021-06-29",-5.49064536599203,-6.74889310269887,-0.0824602291882645,-0.68372616784521,-4.0719848262641,-6.76991618827052,-45.8403082238114,-105.991594161928,-2.21620725027394,-1.35120033105445
"37","2021-07-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-07-17",NA,NA,NA,NA,-0.0977656879187015,3.89423925136592,-5.20287695606952,-17.0268866492761,-0.158478751561501,3.25924811004266
"39","2021-07-27",-4.61648661081075,-4.78788159907764,-0.103870814354773,-0.712747402169332,-2.99927900496641,-5.4884704482039,-81.9521305582372,-85.4943216310133,-2.68015504224007,-2.19130914688146
