Stream,Date,Stage,Q
LF,,8.495,0
LF,8/14/2021,8.554976,0.0045
LF,11/10/2021,8.7181,0.0339
LF,8/4/2021,8.606792,0.04
LF,4/26/2021,8.710424,0.242217913
LF,2/5/2021,8.5322,0.567141951
LF,4/2/2021,8.786624,0.672035803
LF,4/12/2021,8.798816,0.858478913
LF,3/15/2021,8.804912,0.906697431
LF,3/5/2021,8.919296,1.120174276
LF,4/30/2021,8.865872,1.126706586
LF,5/7/2021,8.89368,1.344
LF,2/1/2021,8.8232,1.352249185
LF,6/7/2020,8.92416,1.54
LF,6/10/2021,9.0609,4.768
LF,12/29/2021,9.12,7.48
LF,6/19/2021,9.18896,9.424
FM,,8.7,0
FM,8/25/2021,8.7625,0.02815
FM,8/4/2021,8.8235,0.0922
FM,11/10/2021,8.857,0.1116
FM,8/4/2021,8.8235,0.1452654
FM,4/26/2021,8.969776,0.450952009
FM,2/5/2021,8.97892,0.508528398
FM,4/2/2021,8.969776,1.03134572
FM,3/15/2021,8.646688,1.151428553
FM,4/12/2021,8.988064,1.213258671
FM,3/5/2021,9.323344,1.53695871
FM,4/30/2021,9.018544,1.662950936
FM,6/7/2021,9.0643,2.214
FM,6/10/2021,8.99416,6.125
FM,12/29/2021,9.375,9.34
FM,6/19/2021,10.045,46.174
MB,,8.7,0
MB,8/4/2021,8.73508,0.002815
MB,11/10/2021,8.75032,0.0038
MB,4/26/2021,9.015496,0.030401921
MB,3/5/2021,8.988064,0.062644641
MB,2/5/2021,9.05512,0.064271089
MB,4/2/2021,9.042928,0.067535949
MB,3/15/2021,9.05512,0.120485261
MB,5/7/2021,9.049024,0.138
MB,4/30/2021,9.097792,0.167869162
MB,2/1/2021,9.0856,0.20438178
MB,6/7/2021,9.109984,0.223
MB,6/10/2021,9.13132,0.334
MB,12/29/2021,9.18,0.603
MB,12/29/2021,9.2,0.7642
MB,19-Mar,9.189232,0.934998979
MB,2/22/2022,9.6784,4.165
MB,19-Jun,9.11608,2.789
DE,8/4/2021,0.01524,0.00578
DE,11/10/2021,0.027432,0.0136
DE,4/26/2021,0.03048,0.028591336
DE,4/2/2021,0.054864,0.074078623
DE,12/15/2021,0.048768,0.0973
DE,3/15/2021,0.057912,0.125604444
DE,5/7/2021,0.052,0.126
DE,3/5/2021,0.054864,0.143956194
DE,2/5/2021,0.085344,0.14440021
DE,4/30/2021,0.06096,0.167955877
DE,6/7/2021,0.064,0.218
DE,6/10/2021,0.07,0.222
DE,3/19/2021,0.124968,0.407962089
DE,6/19/2021,0.249936,1.215
DE,2/18/2022,0.48,0.6444
DE,2/22/2022,1.29,2.5326
BD,,0,0
BD,11/10/2021,0.9652,0.1394
BD,4/26/2021,0.9906,1.923148514
BD,4/12/2021,1.2063984,2.716491233
BD,3/15/2021,1.167384,2.778086647
BD,4/2/2021,1.14935,2.977896
BD,4/30/2021,1.23444,3.840664333
BD,6/10/2021,1.46685,14.2186
BD,12/29/2021,1.50495,19.81
BD,6/19/2021,1.7272,41.419
