Date/Time,FMS,LFS,MBS,DE,BD
12/8/2019 9:59,8.663,8.622,8.713,,
12/15/2019 9:59,8.742,8.661,9.027,,
1/6/2020 9:59,8.925,8.863,9.049,,
1/13/2020 9:59,9.1,9.056,9.087,,
1/31/2020 9:59,8.856,8.853,9.029,,
2/16/2020 9:59,8.9,8.901,9.046,,
3/1/2020 9:59,8.867,8.865,9.048,,
3/8/2020 9:59,8.869,8.862,9.026,,
5/22/2020 9:59,9.097,8.908,9.095,,
6/1/2020 9:59,8.99,8.836,9.059,,
6/8/2020 9:59,8.903,8.767,8.991,,
6/15/2020 9:59,8.872,8.718,8.782,,
7/13/2020 9:59,8.796,8.6,8.54,,
7/20/2020 9:59,8.779,8.561,8.344,,
7/28/2020 9:59,8.8,8.594,8.582,,
8/4/2020 9:59,8.882,8.701,9.036,,
8/18/2020 10:00,8.579,8.559,8.372,,
11/3/2020 10:00,8.844,8.6,8.752,,
11/17/2020 10:00,8.841,8.603,8.817,,
12/2/2020 10:00,8.938,8.77,9.078,,
12/14/2020 10:00,8.857,8.686,9.034,,
1/12/2021 10:00,8.884,8.796,9.0179904,,
1/27/2021 10:00,8.907,8.801,9.0258242,0.29,1.08585
2/24/2021 10:00,9.23,9.103,9.127,0.18,
3/10/2021 10:00,8.944,8.833,9.034,0.16,1.17475
3/24/2021 10:00,9.008,8.897,9.056,0.28,1.18745
4/7/2021 10:00,8.927,8.832,9.031,,
4/21/2021 10:00,8.9,8.82153,9.028,0.12,1.11125
4/29/2021 10:00,8.999,8.8853553,9.11,0.28,1.1938
5/5/2021 10:00,9.261,9.0542667,9.157,0.28,1.45415
5/10/2021 10:00,9.123,8.996,9.148,0.34,1.45415
5/18/2021 10:00,8.859,8.78,9.079,0.18,1.1811
6/1/2021 10:00,8.811,8.715,9.028,0.1,1.08204
6/9/2021 10:00,9,8.855,9.077,0.26,1.69545
6/15/2021 10:00,8.882,8.794,9.04,0.1,1.46685
6/29/2021 10:00,8.82,8.728,9.026,0.1,1.09855
7/13/2021 10:00,8.909,8.698,8.9716098,,1.09
7/17/2021 10:00,9.676,9.218,9.3252618,1.05,1.72495
7/29/2021 10:00,8.861,8.656,8.9430456,0.05,1.050925
8/10/2021 10:00,8.805,8.541,8.655,0.01,0.936625
8/25/2021 10:00,8.773,8.499,8.473,,0.83185
9/5/2021 10:00,8.802,8.52,8.567,,0.98425
10/31/2021 10:00,8.969,8.735,9.062,0.18,1.123696
11/14/2021 10:00,8.885,8.616,8.846,0.12,0.9652
11/28/2021 10:00,8.916,8.686,9.064,0.13,1.05
12/13/2021 10:00,8.96495,,9.3142,0.2,1.27
