"","Date.Time","Stream","Stage","Q"
"1","12/8/2019 9:59","FM",8.663,0.014969266638406
"2","12/15/2019 9:59","FM",8.742,0.0254345061466723
"3","8/18/2020 10:00","FM",8.579,0.00384167019923695
"4","1/6/2020 9:59","FM",8.925,0.36406725327521
"5","1/31/2020 9:59","FM",8.856,0.130392990997624
"6","2/16/2020 9:59","FM",8.9,0.250965330173265
"7","3/1/2020 9:59","FM",8.867,0.153583343521808
"8","3/8/2020 9:59","FM",8.869,0.158222976049497
"9","6/1/2020 9:59","FM",8.99,0.9577631533467
"10","6/8/2020 9:59","FM",8.903,0.262422987998559
"11","6/15/2020 9:59","FM",8.872,0.165446542421884
"12","7/13/2020 9:59","FM",8.796,0.0533938598446617
"13","7/20/2020 9:59","FM",8.779,0.0414596043776644
"14","7/28/2020 9:59","FM",8.8,0.0566685602894476
"15","8/4/2020 9:59","FM",8.882,0.191992759414621
"16","11/3/2020 10:00","FM",8.844,0.109069082890687
"17","11/17/2020 10:00","FM",8.841,0.104307014443059
"18","12/2/2020 10:00","FM",8.938,0.441770710639034
"19","12/14/2020 10:00","FM",8.857,0.132347872059076
"20","1/12/2021 10:00","FM",8.884,0.197792710315774
"21","1/27/2021 10:00","FM",8.907,0.278517660270252
"22","3/10/2021 10:00","FM",8.944,0.483029006905162
"23","3/24/2021 10:00","FM",9.008,1.25195005655579
"24","4/7/2021 10:00","FM",8.927,0.375065439874278
"25","4/21/2021 10:00","FM",8.9,0.250965330173265
"26","4/29/2021 10:00","FM",8.999,1.09502129385665
"27","5/18/2021 10:00","FM",8.859,0.136345997624619
"28","6/1/2021 10:00","FM",8.811,0.0667470459511042
"29","6/9/2021 10:00","FM",9,1.11143809949067
"30","6/15/2021 10:00","FM",8.882,0.191992759414621
"31","6/29/2021 10:00","FM",8.82,0.0763126419753062
"32","7/13/2021 10:00","FM",8.909,0.286931460663542
"33","7/27/2021 10:00","FM",8.886,0.203767873191365
"34","8/10/2021 10:00","FM",8.805,0.0610457953898099
"35","8/25/2021 10:00","FM",8.773,0.0379183001991641
"36","9/5/2021 10:00","FM",8.802,0.0583804731153253
"37","10/31/2021 10:00","FM",8.969,0.700714491817657
"38","11/14/2021 10:00","FM",8.885,0.20075806313521
"39","11/28/2021 10:00","FM",8.916,0.318432346917251
"40","12/13/2021 10:00","FM",8.96495,0.659731319147052
"41","1/13/2020 9:59","FM",9.1,3.0321100917431
"42","5/22/2020 9:59","FM",9.097,2.96330275229356
"43","2/24/2021 10:00","FM",9.23,6.01376146788991
"44","5/5/2021 10:00","FM",9.261,6.72477064220181
"45","5/10/2021 10:00","FM",9.123,3.55963302752291
"46","7/17/2021 10:00","FM",9.676,25.8736263736264
"47","12/8/2019 9:59","LF",8.622,0.0413250182871246
"48","12/15/2019 9:59","LF",8.661,0.0684426316312476
"49","1/6/2020 9:59","LF",8.863,0.933733665412266
"50","1/31/2020 9:59","LF",8.853,0.820427164288482
"51","2/16/2020 9:59","LF",8.901,1.5265757677073
"52","3/1/2020 9:59","LF",8.865,0.958207607684641
"53","3/8/2020 9:59","LF",8.862,0.921732113649228
"54","5/22/2020 9:59","LF",8.908,1.67126937274827
"55","6/1/2020 9:59","LF",8.836,0.658459329108718
