"","Date","Site","TN","TP","Nitrate","Ammonium","SRP","DOC","Stream","DateStream","Q"
"1",2019-12-08,"1",1.20428042255453,0.040849321,0.515,0.0413,3.29,4.97,"BD","2019-12-08 BD",NA
"2",2019-12-08,"10",1.53354369598024,0.022310843,1.29,-0.0058,17.3,3.52,"FM","2019-12-08 FM",0.014969266638406
"3",2019-12-08,"11",1.51982439292084,0.021448588,1.3,-0.0029,16.8,3.61,"FM","2019-12-08 FM",0.014969266638406
"4",2019-12-08,"12",0.715873233639731,0.035136883,1.45,0.00646,25,3.96,"FM_Branch","2019-12-08 FM_Branch",0.0114956483149639
"5",2019-12-08,"13",0.334476608588284,0.108105195,0.075,0.1149,4.01,1.69,"Wells","2019-12-08 Wells",NA
"6",2019-12-08,"14",1.47866648374263,0.0302867,1.29,-0.0026,29.4,3.51,"EF","2019-12-08 EF",0.0034475717994913
"7",2019-12-08,"15",1.50610508986144,0.029532227,1.3,0.0021,29.1,3.49,"EF","2019-12-08 EF",0.0034475717994913
"8",2019-12-08,"16",0.71175744272191,0.028238845,0.476,9e-04,26.5,3.39,"MB","2019-12-08 MB",0.00311327310632383
"9",2019-12-08,"17",0.291946769104129,0.049256305,0.0336,0.0298,2.85,1.4,"Wells","2019-12-08 Wells",NA
"10",2019-12-08,"18",0.909315406777336,0.050010778,0.643,0.01127,47.1,4.2,"MB","2019-12-08 MB",0.00311327310632383
"11",2019-12-08,"19",1.0945259980793,0.055399871,0.683,0.01351,44.9,4.83,"MB","2019-12-08 MB",0.00311327310632383
"12",2019-12-08,"20",1.4100699684456,0.034059064,0.758,9.99999999999994e-05,21.9,4.87,"MB","2019-12-08 MB",0.00311327310632383
"13",2019-12-08,"21",0.378378378378378,0.044729468,0.139,-5e-04,39.9,4.28,"Wells","2019-12-08 Wells",NA
"14",2019-12-08,"22",0.750171491288242,0.023712007,0.599,0.0017,24.6,1.91,"DE","2019-12-08 DE",0.00234989542738012
"15",2019-12-08,"23",0.935382082590204,0.033520155,0.843,-6e-04,37.1,2.41,"DE","2019-12-08 DE",0.00234989542738012
"16",2019-12-08,"24",1.03553299492386,0.028669972,0.895,-0.002,29.6,2.43,"DE","2019-12-08 DE",0.00234989542738012
"17",2019-12-08,"25",0.990259294827823,0.041496012,0.826,-0.0025,38.5,2.94,"DE","2019-12-08 DE",0.00234989542738012
"18",2019-12-08,"4",0.44285910275758,0.03901703,0.154,-0.0031,35.3,4.54,"LF","2019-12-08 LF",0.0413250182871246
"19",2019-12-08,"5",0.437371381533818,0.040741539,0.179,0.0022,35.8,4.35,"LF","2019-12-08 LF",0.0413250182871246
"20",2019-12-08,"6",0.791329400466456,0.04020263,0.503,0.00588,32.9,4.45,"LF","2019-12-08 LF",0.0413250182871246
"21",2019-12-08,"7",0.326245026752641,0.080836387,0.0268,0.01041,3.57,1.79,"Wells","2019-12-08 Wells",NA
"22",2019-12-08,"8",1.43750857456441,0.023712007,1.28,0.0027,17.2,3.56,"FM","2019-12-08 FM",0.014969266638406
"23",2019-12-15,"1",1.24543833173275,0.036430265,0.517,0.0292,2.29,4.56,"BD","2019-12-15 BD",NA
"24",2019-12-15,"10",2.39785978872273,0.038370338,2.11,0.005,30.6,3.16,"FM","2019-12-15 FM",0.0254345061466723
"25",2019-12-15,"11",2.19207024283166,0.039555939,2.13,8e-04,31.1,3.12,"FM","2019-12-15 FM",0.0254345061466723
"26",2019-12-15,"12",2.64480724379202,0.050980815,2.37,0.014471,37.4,3.18,"FM_Branch","2019-12-15 FM_Branch",0.019532428995337
"27",2019-12-15,"13",0.301550281245713,0.098189265,0.118,0.1369,4.51,1.19,"Wells","2019-12-15 Wells",NA
"28",2019-12-15,"14",2.2881053642475,0.034274628,2.09,-0.000799999999999999,28.6,3.08,"EF","2019-12-15 EF",0.00585782111064011
"29",2019-12-15,"15",2.45273700096035,0.03556801,2.26,0.00749,28.5,3.12,"EF","2019-12-15 EF",0.00585782111064011
"30",2019-12-15,"16",1.30031554397037,0.032981246,0.97,0.01335,24.5,4.22,"MB","2019-12-15 MB",0.0814639297295024
"31",2019-12-15,"17",0.125943202085334,0.008083639,0.0307,0.0447,3.01,1,"Wells","2019-12-15 Wells",NA
"32",2019-12-15,"18",1.42378927150501,NA,1.1,0.0048,25.1,4.42,"MB","2019-12-15 MB",0.0814639297295024
"33",2019-12-15,"19",1.49238578680203,0.035891356,1.18,0.014453,23.6,4.57,"MB","2019-12-15 MB",0.0814639297295024
"34",2019-12-15,"2",0.633557415283304,0.023065316,0.537,0.01088,37.7,3.9,"LF","2019-12-15 LF",0.0684426316312476
"35",2019-12-15,"20",1.56098230209905,0.034059064,1.22,0.00873,18.9,4.58,"MB","2019-12-15 MB",0.0814639297295024
"36",2019-12-15,"23",1.51982439292084,0.028777754,1.38,0.0018,28.7,2.67,"DE","2019-12-15 DE",0.0614888926958987
